experiment_id,experiment_num,network_type,time_finished,description,I,Iloc,J0,J1,T,dead_neuron_ids,disc_step,dt,env_length,expected_mean_field_activity,f,field_loc_offset,init_value,interaction_length,mean_field_activity_remove_background,nf,nmax,nmed,nmin,num_neurons,prob_dead_neurons,random_seed,replace_neuron_attractor,set_field_loc_offset_dyn,tau,vel,avg_accum_field_coverage_per_neuron_max,avg_accum_field_coverage_per_neuron_mean,avg_accum_field_coverage_per_neuron_median,avg_accum_field_coverage_per_neuron_min,avg_accum_field_coverage_per_neuron_q1,avg_accum_field_coverage_per_neuron_q3,avg_accum_field_coverage_per_neuron_std,avg_accum_field_coverage_per_neuron_whishi,avg_accum_field_coverage_per_neuron_whislo,avg_num_fields_per_neuron_max,avg_num_fields_per_neuron_mean,avg_num_fields_per_neuron_median,avg_num_fields_per_neuron_min,avg_num_fields_per_neuron_q1,avg_num_fields_per_neuron_q3,avg_num_fields_per_neuron_std,avg_num_fields_per_neuron_whishi,avg_num_fields_per_neuron_whislo,mean_field_activity_max,mean_field_activity_mean,mean_field_activity_median,mean_field_activity_min,mean_field_activity_q1,mean_field_activity_q3,mean_field_activity_std,mean_field_activity_whishi,mean_field_activity_whislo,num_eval_iters,num_fields_total_max,num_fields_total_mean,num_fields_total_median,num_fields_total_min,num_fields_total_q1,num_fields_total_q3,num_fields_total_std,num_fields_total_whishi,num_fields_total_whislo,perc_correct_fields_max,perc_correct_fields_mean,perc_correct_fields_median,perc_correct_fields_min,perc_correct_fields_q1,perc_correct_fields_q3,perc_correct_fields_std,perc_correct_fields_whishi,perc_correct_fields_whislo,pos_error_max_max,pos_error_max_mean,pos_error_max_median,pos_error_max_min,pos_error_max_q1,pos_error_max_q3,pos_error_max_std,pos_error_max_whishi,pos_error_max_whislo,pos_error_mean_max,pos_error_mean_mean,pos_error_mean_median,pos_error_mean_min,pos_error_mean_q1,pos_error_mean_q3,pos_error_mean_std,pos_error_mean_whishi,pos_error_mean_whislo,pos_error_min_max,pos_error_min_mean,pos_error_min_median,pos_error_min_min,pos_error_min_q1,pos_error_min_q3,pos_error_min_std,pos_error_min_whishi,pos_error_min_whislo,pos_error_std_max,pos_error_std_mean,pos_error_std_median,pos_error_std_min,pos_error_std_q1,pos_error_std_q3,pos_error_std_std,pos_error_std_whishi,pos_error_std_whislo,interaction_length_factor,pos_input_suppression_end,pos_input_suppression_start,random_seed_type,activity_false_negatives_num_max,activity_false_negatives_num_mean,activity_false_negatives_num_median,activity_false_negatives_num_min,activity_false_negatives_num_q1,activity_false_negatives_num_q3,activity_false_negatives_num_std,activity_false_negatives_num_whishi,activity_false_negatives_num_whislo,activity_false_positives_num_max,activity_false_positives_num_mean,activity_false_positives_num_median,activity_false_positives_num_min,activity_false_positives_num_q1,activity_false_positives_num_q3,activity_false_positives_num_std,activity_false_positives_num_whishi,activity_false_positives_num_whislo,avg_num_fields_active_per_neuron_mean,avg_num_fields_active_per_neuron_std,num_fields_active_mean,num_fields_active_std,perc_unique_field_combinations_max,perc_unique_field_combinations_mean,perc_unique_field_combinations_median,perc_unique_field_combinations_min,perc_unique_field_combinations_q1,perc_unique_field_combinations_q3,perc_unique_field_combinations_std,perc_unique_field_combinations_whishi,perc_unique_field_combinations_whislo,weighted_avg_activity_mean,weighted_avg_activity_median,weighted_avg_activity_q1,weighted_avg_activity_q3,weighted_avg_activity_std,weighted_avg_activity_whishi,weighted_avg_activity_whislo,label
single,1,MSMFMultiCAN,17.10.22 - 17:38,eval_1-1-a_org-1,0.1,0.05,-0.15,0.7,20.0,[],0.5,0.05,200,0.015,0.3,"[4.0, 10.0, 20.0]",0.01,0.05,True,8,1,2,5,4000,0.0,time,False,True,0.01,20.0,18.0,18.0,18.0,18.0,18.0,18.0,0.0,18.0,18.0,2.4,2.4,2.4,2.4,2.4,2.4,0.0,2.4,2.4,0.072,0.07,0.07,0.068,0.069,0.071,0.001,0.072,0.068,20,9600.0,9600.0,9600.0,9600.0,9600.0,9600.0,0.0,9600.0,9600.0,0.901,0.89,0.889,0.875,0.886,0.895,0.007,0.901,0.875,189.5,103.925,110.0,10.0,57.875,151.0,57.412,189.5,10.0,2.303,1.319,1.226,0.524,0.964,1.672,0.521,2.303,0.524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.779,9.045,8.485,0.875,4.987,13.406,5.237,17.779,0.875,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
single,2,MSMFMultiCAN,17.10.22 - 17:40,eval_1-1-a_org-1,0.1,0.05,0.0,0.0,20.0,[],0.5,0.05,200,0.015,0.3,"[4.0, 10.0, 20.0]",0.01,0.05,True,8,1,2,5,4000,0.0,time,False,True,0.01,20.0,18.0,18.0,18.0,18.0,18.0,18.0,0.0,18.0,18.0,2.4,2.4,2.4,2.4,2.4,2.4,0.0,2.4,2.4,0.032,0.031,0.031,0.031,0.031,0.031,0.0,0.032,0.031,20,9600.0,9600.0,9600.0,9600.0,9600.0,9600.0,0.0,9600.0,9600.0,1.0,1.0,1.0,0.999,0.999,1.0,0.0,1.0,0.999,76.5,22.475,19.0,18.0,19.0,20.0,12.463,21.0,18.0,1.136,1.048,1.04,0.991,1.016,1.072,0.042,1.136,0.991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.653,3.137,3.062,2.826,3.012,3.141,0.363,3.248,2.826,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
single,3,MSMFMultiCAN,17.10.22 - 17:45,eval_1-1-a_org-1,0.0,0.05,-0.15,0.7,20.0,[],0.5,0.05,200,0.015,0.3,"[4.0, 10.0, 20.0]",0.01,0.05,True,8,1,2,5,4000,0.0,time,False,True,0.01,20.0,18.0,18.0,18.0,18.0,18.0,18.0,0.0,18.0,18.0,2.4,2.4,2.4,2.4,2.4,2.4,0.0,2.4,2.4,0.037,0.036,0.036,0.035,0.036,0.036,0.0,0.036,0.036,20,9600.0,9600.0,9600.0,9600.0,9600.0,9600.0,0.0,9600.0,9600.0,0.943,0.937,0.938,0.929,0.935,0.94,0.004,0.943,0.929,3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0.22,0.207,0.206,0.194,0.203,0.212,0.007,0.22,0.194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.336,0.327,0.327,0.323,0.326,0.329,0.003,0.331,0.323,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
single,4,MSMFMultiCAN,17.10.22 - 17:47,eval_1-1-a_org-1,0.0,0.05,0.0,0.0,20.0,[],0.5,0.05,200,0.015,0.3,"[4.0, 10.0, 20.0]",0.01,0.05,True,8,1,2,5,4000,0.0,time,False,True,0.01,20.0,18.0,18.0,18.0,18.0,18.0,18.0,0.0,18.0,18.0,2.4,2.4,2.4,2.4,2.4,2.4,0.0,2.4,2.4,0.032,0.031,0.031,0.031,0.031,0.031,0.0,0.032,0.031,20,9600.0,9600.0,9600.0,9600.0,9600.0,9600.0,0.0,9600.0,9600.0,1.0,1.0,1.0,0.999,0.999,1.0,0.0,1.0,0.999,3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0.11,0.098,0.098,0.085,0.095,0.101,0.006,0.11,0.088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.295,0.289,0.289,0.282,0.288,0.292,0.003,0.295,0.284,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
single,5,MSMFMultiCAN,17.10.22 - 17:52,eval_1-1-a_org-2,0.1,0.05,-0.15,0.7,20.0,[],0.5,0.05,200,0.015,0.3,"[4.0, 10.0, 20.0]",0.01,0.05,True,8,1,2,5,50,0.0,time,False,True,0.01,20.0,18.0,18.0,18.0,18.0,18.0,18.0,0.0,18.0,18.0,2.4,2.4,2.4,2.4,2.4,2.4,0.0,2.4,2.4,0.042,0.029,0.029,0.022,0.025,0.032,0.005,0.042,0.022,20,120.0,120.0,120.0,120.0,120.0,120.0,0.0,120.0,120.0,0.725,0.598,0.604,0.483,0.558,0.633,0.058,0.725,0.483,196.75,155.7,156.375,106.0,138.063,177.563,24.304,196.75,106.0,83.16,37.547,36.075,13.648,29.874,43.998,14.412,56.563,13.648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.83,42.06,39.659,26.565,36.564,45.451,8.286,54.291,26.565,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
single,6,MSMFMultiCAN,17.10.22 - 17:53,eval_1-1-a_org-2,0.1,0.05,0.0,0.0,20.0,[],0.5,0.05,200,0.015,0.3,"[4.0, 10.0, 20.0]",0.01,0.05,True,8,1,2,5,50,0.0,time,False,True,0.01,20.0,18.0,18.0,18.0,18.0,18.0,18.0,0.0,18.0,18.0,2.4,2.4,2.4,2.4,2.4,2.4,0.0,2.4,2.4,0.033,0.031,0.031,0.03,0.031,0.032,0.001,0.033,0.03,20,120.0,120.0,120.0,120.0,120.0,120.0,0.0,120.0,120.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,192.0,127.362,120.5,55.25,91.5,176.312,46.031,192.0,55.25,14.148,6.484,6.01,2.912,4.186,7.818,2.805,10.447,2.912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.04,18.186,17.855,5.458,10.765,21.962,9.31,33.86,5.458,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
single,7,MSMFMultiCAN,17.10.22 - 17:53,eval_1-1-a_org-2,0.0,0.05,-0.15,0.7,20.0,[],0.5,0.05,200,0.015,0.3,"[4.0, 10.0, 20.0]",0.01,0.05,True,8,1,2,5,50,0.0,time,False,True,0.01,20.0,18.0,18.0,18.0,18.0,18.0,18.0,0.0,18.0,18.0,2.4,2.4,2.4,2.4,2.4,2.4,0.0,2.4,2.4,0.025,0.023,0.024,0.021,0.022,0.024,0.001,0.025,0.021,20,120.0,120.0,120.0,120.0,120.0,120.0,0.0,120.0,120.0,0.892,0.806,0.808,0.75,0.773,0.825,0.036,0.892,0.75,167.0,21.783,6.419,4.0,5.438,8.25,43.515,10.0,4.0,2.551,1.213,1.112,0.97,1.023,1.178,0.348,1.258,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.008,1.972,0.949,0.777,0.809,1.109,2.848,1.178,0.777,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
single,8,MSMFMultiCAN,17.10.22 - 17:53,eval_1-1-a_org-2,0.0,0.05,0.0,0.0,20.0,[],0.5,0.05,200,0.015,0.3,"[4.0, 10.0, 20.0]",0.01,0.05,True,8,1,2,5,50,0.0,time,False,True,0.01,20.0,18.0,18.0,18.0,18.0,18.0,18.0,0.0,18.0,18.0,2.4,2.4,2.4,2.4,2.4,2.4,0.0,2.4,2.4,0.033,0.031,0.031,0.03,0.031,0.032,0.001,0.033,0.03,20,120.0,120.0,120.0,120.0,120.0,120.0,0.0,120.0,120.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,10.0,5.275,4.75,3.5,4.438,5.625,1.412,7.25,3.5,1.293,1.15,1.148,1.056,1.119,1.177,0.056,1.248,1.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.168,0.902,0.892,0.761,0.857,0.93,0.09,0.996,0.761,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
single,9,MSMFMultiCAN,10.11.22 - 15:35,eval_3-2-a_org-1,0.1,0.05,0.0,0.0,20.0,[],0.5,0.05,200,0.015,0.3,"[4.0, 10.0, 20.0]",0.01,0.05,True,8,1,2,5,4000,0.0,1668090806738050395,False,True,0.01,20.0,None,18.0,None,None,None,None,0.0,None,None,None,2.4,None,None,None,None,0.0,None,None,0.028,0.028,0.028,0.028,0.028,0.028,0.0,0.028,0.028,20,None,9600.0,None,None,None,None,0.0,None,None,0.9,0.899,0.899,0.898,0.899,0.9,0.0,0.9,0.899,None,81.325,None,None,None,None,None,None,None,13.521,6.642,6.77,0.955,1.286,11.063,4.423,13.521,0.955,None,0.0,None,None,None,None,None,None,None,36.933,19.482,19.831,2.992,3.357,31.699,12.398,36.933,2.992,None,160.0,120.0,time,0,0.0,0.0,0,0.0,0.0,0.0,0,0,1456786,1456428.35,1456433.5,1456150,1456304.75,1456543.0,157.169,1456786,1456150,2.4,0.0,9600.0,0.0,0.548,0.51,0.515,0.458,0.489,0.532,0.027,0.548,0.458,83084.53,83084.543,83084.394,83084.601,0.179,83084.879,83084.282,None
single,10,MSMFMultiCAN,10.11.22 - 15:44,eval_3-2-a_org-1,0.1,0.05,-0.15,0.7,20.0,[],0.5,0.05,200,0.015,0.3,"[4.0, 10.0, 20.0]",0.01,0.05,True,8,1,2,5,4000,0.0,1668090965452301374,False,True,0.01,20.0,None,18.0,None,None,None,None,0.0,None,None,None,2.4,None,None,None,None,0.0,None,None,0.065,0.062,0.062,0.061,0.062,0.063,0.001,0.064,0.061,20,None,9600.0,None,None,None,None,0.0,None,None,0.845,0.824,0.825,0.811,0.817,0.829,0.009,0.845,0.811,None,87.525,None,None,None,None,None,None,None,12.621,5.091,3.633,0.711,1.07,9.04,4.17,12.621,0.711,None,0.0,None,None,None,None,None,None,None,35.749,15.034,9.064,2.22,4.954,26.156,11.097,35.749,2.22,None,160.0,120.0,time,19257,17094.6,17222.5,15120,16385.0,17661.0,1041.59,19257,15120,943707,933865.85,934080.0,919730,930902.5,937735.25,5323.375,943707,927406,2.4,0.0,9600.0,0.0,0.548,0.51,0.515,0.458,0.489,0.532,0.027,0.548,0.458,27459.834,27541.819,27263.137,27605.561,229.334,27798.904,27008.295,None
single,11,MSMFMultiCAN,10.11.22 - 15:46,eval_3-2-a_org-1,0.0,0.05,0.0,0.0,20.0,[],0.5,0.05,200,0.015,0.3,"[4.0, 10.0, 20.0]",0.01,0.05,True,8,1,2,5,4000,0.0,1668091467293275699,False,True,0.01,20.0,None,18.0,None,None,None,None,0.0,None,None,None,2.4,None,None,None,None,0.0,None,None,0.028,0.028,0.028,0.028,0.028,0.028,0.0,0.028,0.028,20,None,9600.0,None,None,None,None,0.0,None,None,0.9,0.899,0.899,0.898,0.899,0.899,0.0,0.9,0.899,None,119.5,None,None,None,None,None,None,None,5.449,5.096,5.133,4.556,5.085,5.147,0.215,5.157,5.081,None,0.0,None,None,None,None,None,None,None,23.855,22.975,23.13,21.718,22.909,23.16,0.494,23.519,22.883,None,160.0,120.0,time,7025,6615.1,6656.0,5891,6617.0,6692.5,264.164,6699,6617,1386390,1381423.3,1381328.0,1377710,1380168.0,1381927.75,2218.314,1383349,1377710,2.4,0.0,9600.0,0.0,0.548,0.51,0.515,0.458,0.489,0.532,0.027,0.548,0.458,3100.667,3100.665,3100.605,3100.767,0.129,3100.933,3100.459,None
single,12,MSMFMultiCAN,10.11.22 - 15:52,eval_3-2-a_org-1,0.0,0.05,-0.15,0.7,20.0,[],0.5,0.05,200,0.015,0.3,"[4.0, 10.0, 20.0]",0.01,0.05,True,8,1,2,5,4000,0.0,1668091615690404509,False,True,0.01,20.0,None,18.0,None,None,None,None,0.0,None,None,None,2.4,None,None,None,None,0.0,None,None,0.033,0.032,0.032,0.032,0.032,0.032,0.0,0.033,0.032,20,None,9600.0,None,None,None,None,0.0,None,None,0.853,0.845,0.846,0.837,0.841,0.848,0.004,0.853,0.837,None,125.75,None,None,None,None,None,None,None,11.252,9.574,9.349,6.984,8.885,10.579,1.09,11.252,6.984,None,0.0,None,None,None,None,None,None,None,35.404,30.649,29.985,25.315,28.969,32.721,2.482,35.404,25.315,None,160.0,120.0,time,17533,15205.7,15487.0,11395,14664.5,16165.25,1546.242,17533,12510,145546,115598.6,113823.0,93378,108190.0,119591.75,13389.855,133761,93378,2.4,0.0,9600.0,0.0,0.548,0.51,0.515,0.458,0.489,0.532,0.027,0.548,0.458,2516.68,2515.61,2510.346,2524.387,15.862,2539.259,2508.549,None
single,13,MSMFMultiCAN,10.11.22 - 10:59,eval-3-2-a_org-2,0.1,0.05,0.0,0.0,20.0,[],0.5,0.05,200,0.015,0.3,"[4.0, 10.0, 20.0]",0.01,0.05,True,8,1,2,5,50,0.0,1668074321694578934,False,True,0.01,20.0,None,18.0,None,None,None,None,0.0,None,None,None,2.4,None,None,None,None,0.0,None,None,0.03,0.029,0.029,0.027,0.028,0.029,0.001,0.03,0.027,20,None,120.0,None,None,None,None,0.0,None,None,0.9,0.893,0.892,0.892,0.892,0.892,0.003,0.892,0.892,None,124.838,None,None,None,None,None,None,None,24.468,10.78,9.329,5.599,7.467,13.513,4.672,17.351,5.599,None,0.0,None,None,None,None,None,None,None,46.726,26.205,24.313,10.07,19.506,33.641,9.163,46.726,10.07,1,160.0,120.0,time,0,0.0,0.0,0,0.0,0.0,0.0,0,0,18238,18199.6,18208.0,18154,18179.5,18220.0,25.269,18238,18154,2.4,0.0,120.0,0.0,0.448,0.434,0.432,0.422,0.428,0.438,0.008,0.448,0.422,1039.032,1039.031,1039.028,1039.038,0.005,1039.041,1039.025,None
single,14,MSMFMultiCAN,10.11.22 - 11:00,eval-3-2-a_org-2,0.1,0.05,-0.15,0.7,20.0,[],0.5,0.05,200,0.015,0.3,"[4.0, 10.0, 20.0]",0.01,0.05,True,8,1,2,5,50,0.0,1668074420800623324,False,True,0.01,20.0,None,18.0,None,None,None,None,0.0,None,None,None,2.4,None,None,None,None,0.0,None,None,0.036,0.026,0.025,0.018,0.022,0.028,0.005,0.033,0.018,20,None,120.0,None,None,None,None,0.0,None,None,0.642,0.531,0.533,0.425,0.488,0.556,0.065,0.642,0.425,None,149.75,None,None,None,None,None,None,None,59.454,39.104,40.414,17.372,27.792,48.056,12.111,59.454,17.372,None,0.0,None,None,None,None,None,None,None,56.942,42.427,42.366,27.13,36.008,47.078,8.371,56.942,27.13,1,160.0,120.0,time,1039,741.35,733.0,516,668.75,818.0,124.831,1039,516,11744,10805.25,10726.5,9650,10599.5,11082.0,540.557,11744,10224,2.4,0.0,120.0,0.0,0.445,0.432,0.432,0.418,0.429,0.435,0.007,0.442,0.422,335.407,341.34,317.212,349.997,26.753,382.236,282.28,None
